,cik_str,ticker,Company
153,948401,CFRUY,Compagnie Financiere Richemont Ag /Fi
154,798354,FI,Fiserv Inc
155,16868,CNI,Canadian National Railway Co
156,895728,ENB,Enbridge Inc
157,16875,CP,Canadian Pacific Kansas City Ltd/Cn
158,718877,ATVI,"Activision Blizzard, Inc."
159,1326160,DUK,Duke Energy Corp
160,1101239,EQIX,Equinix Inc
161,1124610,VMW,"Vmware, Inc."
162,1404912,KKR,Kkr & Co. Inc.
163,49826,ITW,Illinois Tool Works Inc
164,883241,SNPS,Synopsys Inc
165,860730,HCA,"Hca Healthcare, Inc."
166,1017413,CNQ,Canadian Natural Resources Ltd
167,1099590,MELI,Mercadolibre Inc
168,1633917,PYPL,"Paypal Holdings, Inc."
169,89800,SHW,Sherwin Williams Co
170,315293,AON,Aon Plc
171,1022837,SMFG,"Sumitomo Mitsui Financial Group, Inc."
172,2969,APD,"Air Products & Chemicals, Inc."
173,1091587,ABBNY,Abb Ltd
174,319201,KLAC,Kla Corp
175,1096200,ENLAY,Enel Societa Per Azioni
176,1571949,ICE,"Intercontinental Exchange, Inc."
177,1524684,GLNCY,Glencore Plc/Adr
178,1443276,TOELY,Tokyo Electron Ltd
179,813672,CDNS,Cadence Design Systems Inc
180,1091667,CHTR,"Charter Communications, Inc. /Mo/"
181,1110646,NTES,"Netease, Inc."
182,823768,WM,Waste Management Inc
183,929869,RELX,Relx Plc
184,1327811,WDAY,"Workday, Inc."
185,1133421,NOC,Northrop Grumman Corp /De/
186,748954,ATLKY,Atlas Copco Ab
187,1048911,FDX,Fedex Corp
188,1442651,SHECY,"Shin-Etsu Chemical Co., Ltd."
189,1059556,MCO,Moodys Corp /De/
190,927971,BMO,Bank Of Montreal /Can/
191,1510295,MPC,Marathon Petroleum Corp
192,277948,CSX,Csx Corp
193,1001838,SCCO,Southern Copper Corp/
194,21665,CL,Colgate Palmolive Co
195,1048286,MAR,Marriott International Inc /Md/
196,40533,GD,General Dynamics Corp
197,865752,MNST,Monster Beverage Corp
198,891478,SAN,"Banco Santander, S.A."
199,917851,VALE,Vale S.A.
200,49071,HUM,Humana Inc
201,1605484,STLA,Stellantis N.V.
